codigo_ocorrencia2,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_ano_fabricacao,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_nivel_dano,aeronave_fatalidades_total
48451,PRFLM,AVIÃO,PIPER AIRCRAFT,PA-34-200,PA34,PISTÃO,BIMOTOR,1905,1972.0,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,SUBSTANCIAL,0
48474,PTLSJ,AVIÃO,LEARJET,35A,LJ35,JATO,BIMOTOR,8165,1978.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,NENHUM,0
48512,PTTDK,AVIÃO,RAYTHEON AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,2449,1998.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,NENHUM,0
48516,PRRCB,AVIÃO,CESSNA AIRCRAFT,680,C680,JATO,BIMOTOR,13744,2006.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,LEVE,0
48578,PRKYK,AVIÃO,CESSNA AIRCRAFT,525A,C25A,JATO,BIMOTOR,5613,2009.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,ESTACIONAMENTO,NENHUM,0
48580,PRGGD,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,70533,2008.0,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,LEVE,0
48582,PTJAA,AVIÃO,RAYTHEON AIRCRAFT,BAE125-800B,H25B,JATO,BIMOTOR,12429,1990.0,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,NENHUM,0
48584,PRNHC,AVIÃO,LET AIRCRAFT INDUSTRIES,L410UVP-E20,L410,TURBOÉLICE,BIMOTOR,6600,2007.0,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,NENHUM,0
48630,PTBCR,AVIÃO,PIPER AIRCRAFT,PA-22-135,PA22,PISTÃO,MONOMOTOR,885,1954.0,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,DESTRUÍDA,0
48652,PRDJC,HELICÓPTERO,EUROCOPTER FRANCE,EC 130 B4,EC30,TURBOEIXO,MONOMOTOR,2427,2003.0,PARTICULAR,FORA DE AERODROMO,TIBAGI,OUTRA FASE,SUBSTANCIAL,0
